country,iso_code_3,year,Poor (Below $6.85),Vulnerable ($6.85-$14.00),Middle Class ($14.00-$81.00),Rich (Above $81.00),input1,input2,input3,input4,input5,input6,notes
Argentina,ARG,2003,29.7,28.1,40.3,1.9,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2004,24.9,27.2,45.9,2,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2005,21,26.4,50.1,2.5,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2006,16.9,24.4,55.6,3.1,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2007,15.6,24.4,56.9,3.1,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2008,14.2,23.3,59.3,3.2,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2009,12.9,22.1,61.5,3.5,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2010,11.4,22.6,62.1,3.9,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2011,9.1,21.4,65.1,4.4,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2012,8.6,20.9,66.8,3.7,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2013,8.6,20.8,66.8,3.8,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2014,9.5,24,63.4,3.1,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2016,9.2,22.5,64.6,3.7,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2017,8.2,20.4,67.3,4.1,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2018,10.4,22.9,63.8,2.9,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2019,12,24.4,60.6,3,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2020,15.4,27.2,55.5,1.9,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2021,11.4,26.5,59.6,2.5,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2022,10.9,28.5,58.7,1.9,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Argentina,ARG,2023,13.3,27.7,57,2,2003,2023,29.7,13.3,28.1,27.7,Values for Argentina are only representative of the urban area
Bolivia,BOL,2000,55.8,23.6,19.3,1.3,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2001,51.8,26,21.1,1.1,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2002,53.8,25,19.8,1.4,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2005,47.2,25,26.2,1.6,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2006,42.1,27.2,29,1.7,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2007,41.2,28.5,28.4,1.9,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2008,33.9,30.3,34.3,1.5,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2009,28.9,31.5,38.4,1.2,2000,2023,55.8,14.1,23.6,32.2,
Bolivia,BOL,2011,23.5,30.9,44.3,1.3,2000,2023,55.8,14.1,23.6,32.2,
