region,year,period,Number of Events (Latin America),Number of Events (The Caribbean),Moving Average (Latin America),Moving Average (The Caribbean),Period Average (Latin America),Period Average (The Caribbean)
Latin America,1963,1960s-1990s,1,10,,,14.5,5.2
Latin America,1964,1960s-1990s,5,3,,,14.5,5.2
Latin America,1965,1960s-1990s,11,2,,,14.5,5.2
Latin America,1966,1960s-1990s,11,6,,,14.5,5.2
Latin America,1967,1960s-1990s,12,2,,,14.5,5.2
Latin America,1968,1960s-1990s,7,4,,,14.5,5.2
Latin America,1969,1960s-1990s,9,3,,,14.5,5.2
Latin America,1970,1960s-1990s,14,1,,,14.5,5.2
Latin America,1971,1960s-1990s,12,1,9,,14.5,5.2
Latin America,1972,1960s-1990s,4,2,9.5,,14.5,5.2
Latin America,1973,1960s-1990s,9,1,9.3,2.95,14.5,5.2
Latin America,1974,1960s-1990s,7,3,8.75,2.5,14.5,5.2
Latin America,1975,1960s-1990s,5,1,8.5,2.45,14.5,5.2
Latin America,1976,1960s-1990s,6,6,8.8,,14.5,5.2
Latin America,1977,1960s-1990s,12,10,9.1,2.4,14.5,5.2
Latin America,1978,1960s-1990s,13,3,9,2.8,14.5,5.2
Latin America,1979,1960s-1990s,9,1,8.6,3.15,14.5,5.2
Latin America,1980,1960s-1990s,12,4,8.95,3,14.5,5.2
Latin America,1981,1960s-1990s,6,3,10,3.05,14.5,5.2
Latin America,1982,1960s-1990s,17,4,10.75,3.3,14.5,5.2
Latin America,1983,1960s-1990s,17,8,11.3,3.5,14.5,5.2
Latin America,1984,1960s-1990s,14,12,11.85,3.95,14.5,5.2
Latin America,1985,1960s-1990s,9,13,12.55,4.75,14.5,5.2
Latin America,1986,1960s-1990s,13,6,13.7,5.8,14.5,5.2
Latin America,1987,1960s-1990s,19,8,14.75,6.4,14.5,5.2
Latin America,1988,1960s-1990s,29,2,15.45,6.3,14.5,5.2
Latin America,1989,1960s-1990s,14,4,16.15,6.15,14.5,5.2
Latin America,1990,1960s-1990s,21,10,16.65,6.25,14.5,5.2
Latin America,1991,1960s-1990s,11,5,17.1,6.7,14.5,5.2
Latin America,1992,1960s-1990s,22,11,17.65,7.1,14.5,5.2
Latin America,1993,1960s-1990s,21,11,18.9,7.55,14.5,5.2
Latin America,1994,1960s-1990s,21,1,20.25,8.05,14.5,5.2
Latin America,1995,1960s-1990s,27,6,21.25,7.65,14.5,5.2
Latin America,1996,1960s-1990s,22,11,21.85,6.75,14.5,5.2
Latin America,1997,1960s-1990s,30,5,22.85,6.65,14.5,5.2
Latin America,1998,1960s-1990s,30,6,25.2,6.75,14.5,5.2
Latin America,1999,1960s-1990s,33,12,28.4,6.8,14.5,5.2
Latin America,2000,2000s-2023,49,9,31.7,7.4,41.9,10.7
Latin America,2001,2000s-2023,47,20,33.9,7.75,41.9,10.7
Latin America,2002,2000s-2023,52,19,35.05,8.45,41.9,10.7
Latin America,2003,2000s-2023,35,6,36.45,9.6,41.9,10.7
Latin America,2004,2000s-2023,30,20,37.5,9.75,41.9,10.7
Latin America,2005,2000s-2023,46,18,38.15,10.45,41.9,10.7
Latin America,2006,2000s-2023,24,5,39.15,12,41.9,10.7
Latin America,2007,2000s-2023,41,19,39.9,12.3,41.9,10.7
Latin America,2008,2000s-2023,39,10,40.35,12.7,41.9,10.7
Latin America,2009,2000s-2023,39,14,40.45,13.6,41.9,10.7
Latin America,2010,2000s-2023,52,6,39.2,13.9,41.9,10.7
Latin America,2011,2000s-2023,46,4,37.7,13.85,41.9,10.7
Latin America,2012,2000s-2023,28,9,37.85,12.9,41.9,10.7
Latin America,2013,2000s-2023,29,17,38.25,11.6,41.9,10.7
Latin America,2014,2000s-2023,39,15,38.5,11.65,41.9,10.7
Latin America,2015,2000s-2023,45,5,38.6,11.95,41.9,10.7
Latin America,2016,2000s-2023,30,4,37.9,11.05,41.9,10.7
Latin America,2017,2000s-2023,37,5,37.65,10.35,41.9,10.7
Latin America,2018,2000s-2023,29,10,37.8,9.6,41.9,10.7
Latin America,2019,2000s-2023,44,10,38.6,8.9,41.9,10.7
Latin America,2020,2000s-2023,50,9,41.05,8.7,41.9,10.7
Latin America,2021,2000s-2023,64,,43.75,8.65,41.9,10.7
Latin America,2022,2000s-2023,59,,,,41.9,10.7
Latin America,2023,2000s-2023,52,,,,41.9,10.7
