country,iso_code_3,Vulnerability 2022,HDI 2022,HDI 2022 Level,Readiness 2022
Somalia,SOM,0.606166,0.38,Low,0.354691
Central African Republic,CAF,0.577966,0.387,Low,0.135862
Chad,TCD,0.645535,0.394,Low,0.188641
Niger,NER,0.632226,0.394,Low,0.341834
Mali,MLI,0.599421,0.41,Low,0.284263
Burundi,BDI,0.554177,0.42,Low,0.272169
Yemen,YEM,0.521058,0.424,Low,0.244421
Burkina Faso,BFA,0.523741,0.438,Low,0.28353
Sierra Leone,SLE,0.597912,0.458,Low,0.298044
Mozambique,MOZ,0.478916,0.461,Low,0.262376
Afghanistan,AFG,0.586021,0.462,Low,0.250171
Guinea,GIN,0.533749,0.471,Low,0.308933
"Congo, the Democratic Republic o",COD,0.561573,0.481,Low,0.211829
Guinea-Bissau,GNB,0.616601,0.483,Low,0.274522
Liberia,LBR,0.543339,0.487,Low,0.281375
Madagascar,MDG,0.559079,0.487,Low,0.262949
Ethiopia,ETH,0.521954,0.492,Low,0.295851
Eritrea,ERI,0.601727,0.493,Low,0.214652
Gambia,GMB,0.527134,0.495,Low,0.323446
Benin,BEN,0.571565,0.504,Low,0.338376
Malawi,MWI,0.550692,0.508,Low,0.289301
Djibouti,DJI,0.50148,0.515,Low,0.323935
Sudan,SDN,0.601057,0.516,Low,0.255432
Senegal,SEN,0.534036,0.517,Low,0.351225
Lesotho,LSO,0.481472,0.521,Low,0.307498
"Tanzania, United Republic of",TZA,0.500745,0.532,Low,0.308469
Cote d'Ivoire,CIV,0.484995,0.534,Low,0.317986
Mauritania,MRT,0.586784,0.54,Low,0.359362
Pakistan,PAK,0.501392,0.54,Low,0.306755
Togo,TGO,0.498699,0.547,Low,0.3578
Nigeria,NGA,0.462348,0.548,Low,0.250636
Rwanda,RWA,0.567822,0.548,Low,0.427443
Uganda,UGA,0.524806,0.55,Medium,0.282671
Zimbabwe,ZWE,0.495533,0.55,Medium,0.219822
Haiti,HTI,0.51011,0.552,Medium,0.216976
Syrian Arab Republic,SYR,0.455265,0.557,Medium,0.224959
Solomon Islands,SLB,0.634118,0.562,Medium,0.397085
Timor-Leste,TLS,0.548976,0.566,Medium,0.374569
Papua New Guinea,PNG,0.55069,0.568,Medium,0.28839
Zambia,ZMB,0.487666,0.569,Medium,0.330053
Comoros,COM,0.545716,0.586,Medium,0.282912
Cameroon,CMR,0.489079,0.587,Medium,0.262503
Angola,AGO,0.508869,0.591,Medium,0.270459
Congo,COG,0.517672,0.593,Medium,0.235179
Cambodia,KHM,0.482696,0.6,Medium,0.289287
Kenya,KEN,0.493816,0.601,Medium,0.310092
