country,iso_code_3,year,variable,WUI,WUI World,WUI LAC,input1,input2,input3,input4,input5
Argentina,ARG,1952,Annual Average,0.10570825,0.094032258,0.02683252,,,,,
Argentina,ARG,1953,Annual Average,0.03889235,0.119992027,0.02447165,,,,,
Argentina,ARG,1954,Annual Average,0.093936675,0.132968278,0.112089663,,,,,
Argentina,ARG,1955,Annual Average,0.10570525,0.135578224,0.228707565,,,,,
Argentina,ARG,1956,Annual Average,0.09442675,0.099280593,0.033562534,,,,,
Argentina,ARG,1957,Annual Average,0,0.123247919,0.086126338,,,,,
Argentina,ARG,1958,Annual Average,0.044094525,0.118867639,0.062928884,,,,,
Argentina,ARG,1959,Annual Average,0.086281275,0.068547041,0.050648547,,,,,
Argentina,ARG,1960,Annual Average,0.145927225,0.052470631,0.020219676,,,,,
Argentina,ARG,1961,Annual Average,0.047973325,0.073723685,0.054603445,,,,,
Argentina,ARG,1962,Annual Average,0.081388725,0.106181739,0.094596351,,,,,
Argentina,ARG,1963,Annual Average,0.26191335,0.113526106,0.172355044,,,,,
Argentina,ARG,1964,Annual Average,0.207090075,0.135993169,0.105002415,,,,,
Argentina,ARG,1965,Annual Average,0.0640632,0.113382053,0.092038359,,,,,
Argentina,ARG,1966,Annual Average,0.18031585,0.113745596,0.157203246,,,,,
Argentina,ARG,1967,Annual Average,0.028105675,0.114015255,0.127875353,,,,,
Argentina,ARG,1968,Annual Average,0.067190475,0.134318179,0.109221016,,,,,
Argentina,ARG,1969,Annual Average,0.0723589,0.099653543,0.108259313,,,,,
Argentina,ARG,1970,Annual Average,0.16121365,0.089846921,0.084115855,,,,,
Argentina,ARG,1971,Annual Average,0.14746295,0.136009262,0.147601164,,,,,
Argentina,ARG,1972,Annual Average,0.312987625,0.120515433,0.112961579,,,,,
Argentina,ARG,1973,Annual Average,0.2407441,0.097201875,0.107620554,,,,,
Argentina,ARG,1974,Annual Average,0.16096305,0.099176045,0.059234361,,,,,
Argentina,ARG,1975,Annual Average,0.1128516,0.082351783,0.054943721,,,,,
Argentina,ARG,1976,Annual Average,0.096527275,0.135147809,0.116854441,,,,,
Argentina,ARG,1977,Annual Average,0.03760375,0.098647216,0.122403836,,,,,
Argentina,ARG,1978,Annual Average,0.0361689,0.103184926,0.172576598,,,,,
Argentina,ARG,1979,Annual Average,0.065077025,0.091342129,0.081974006,,,,,
Argentina,ARG,1980,Annual Average,0.0158308,0.086126352,0.119983133,,,,,
Argentina,ARG,1981,Annual Average,0.053781575,0.10302205,0.158240325,,,,,
Argentina,ARG,1982,Annual Average,0.08429725,0.109882842,0.14811692,,,,,
Argentina,ARG,1983,Annual Average,0.125309,0.084721178,0.089241334,,,,,
Argentina,ARG,1984,Annual Average,0.01948635,0.063387132,0.085970854,,,,,
Argentina,ARG,1985,Annual Average,0,0.060347026,0.042649915,,,,,
Argentina,ARG,1986,Annual Average,0.04493495,0.070087014,0.094268276,,,,,
Argentina,ARG,1987,Annual Average,0.03365505,0.063520881,0.054384934,,,,,
Argentina,ARG,1988,Annual Average,0.267605175,0.110645242,0.122539676,,,,,
Argentina,ARG,1989,Annual Average,0.255005925,0.082367692,0.101286259,,,,,
Argentina,ARG,1990,Annual Average,0.148162825,0.10698999,0.105536229,,,,,
Argentina,ARG,1991,Annual Average,0.0159033,0.096240572,0.068094843,,,,,
Argentina,ARG,1992,Annual Average,0.068698075,0.117652603,0.130333683,,,,,
Argentina,ARG,1993,Annual Average,0.07645155,0.121238764,0.187652388,,,,,
Argentina,ARG,1994,Annual Average,0.116659125,0.115859491,0.162138874,,,,,
Argentina,ARG,1995,Annual Average,0.420279825,0.10279988,0.179573919,,,,,
Argentina,ARG,1996,Annual Average,0.3480924,0.114379485,0.205927389,,,,,
Argentina,ARG,1997,Annual Average,0.268500725,0.105768869,0.17642752,,,,,
Argentina,ARG,1998,Annual Average,0.21907715,0.136702468,0.249029883,,,,,
Argentina,ARG,1999,Annual Average,0.46741495,0.119251848,0.193753015,,,,,
Argentina,ARG,2000,Annual Average,0.3056731,0.121372306,0.234701545,,,,,
Argentina,ARG,2001,Annual Average,0.31203655,0.143885188,0.224252105,,,,,
Argentina,ARG,2002,Annual Average,0.22531335,0.141118177,0.228493079,,,,,
Argentina,ARG,2003,Annual Average,0.1737543,0.164099324,0.213140634,,,,,
Argentina,ARG,2004,Annual Average,0.237159075,0.137963436,0.251508776,,,,,
Argentina,ARG,2005,Annual Average,0.1467231,0.144061392,0.208843308,,,,,
Argentina,ARG,2006,Annual Average,0.169045375,0.14031734,0.199182593,,,,,
Argentina,ARG,2007,Annual Average,0.33425045,0.136123963,0.182837445,,,,,
Argentina,ARG,2008,Annual Average,0.261808475,0.131968775,0.120888968,,,,,
Argentina,ARG,2009,Annual Average,0.70966765,0.138500589,0.169262499,,,,,
Argentina,ARG,2010,Annual Average,0.8548254,0.152337145,0.182435889,,,,,
Argentina,ARG,2011,Annual Average,0.328666,0.176647148,0.243975178,,,,,
Argentina,ARG,2012,Annual Average,0.323742725,0.225909617,0.183695025,,,,,
Argentina,ARG,2013,Annual Average,0.3264396,0.226703179,0.280524661,,,,,
Argentina,ARG,2014,Annual Average,0.296355175,0.199616777,0.163373681,,,,,
Argentina,ARG,2015,Annual Average,0.36072255,0.235984878,0.233332814,,,,,
Argentina,ARG,2016,Annual Average,0.15035685,0.278571657,0.238962083,,,,,
Argentina,ARG,2017,Annual Average,0.189007825,0.243450628,0.285571645,,,,,
Argentina,ARG,2018,Annual Average,0.3995834,0.199243691,0.410956063,,,,,
Argentina,ARG,2019,Annual Average,0.414423575,0.26686817,0.353607676,,,,,
Argentina,ARG,2020,Annual Average,0.23493135,0.273021605,0.284161693,,,,,
Argentina,ARG,2021,Annual Average,0.09622515,0.217772202,0.290546388,,,,,
Argentina,ARG,2022,Annual Average,0.16955725,0.236557435,0.311440173,,,,,
Argentina,ARG,2023,Annual Average,0.389300475,0.208037042,0.209689291,,,,,
Argentina,ARG,2024,Annual Average,0.4696254,0.176795038,0.228082571,,,,,
Argentina,ARG,2025,Annual Average,0.2837886,0.312139356,0.45899374,increased,2.709452281,above,-8.958672917,lower
Argentina,ARG,1952,Moving Average,,,,,,,,
Argentina,ARG,1953,Moving Average,,,,,,,,
Argentina,ARG,1954,Moving Average,,,,,,,,
Argentina,ARG,1955,Moving Average,,,,,,,,
Argentina,ARG,1956,Moving Average,,,,,,,,
Argentina,ARG,1957,Moving Average,,,,,,,,
Argentina,ARG,1958,Moving Average,,,,,,,,
Argentina,ARG,1959,Moving Average,,,,,,,,
Argentina,ARG,1960,Moving Average,,,,,,,,
Argentina,ARG,1961,Moving Average,0.076294563,0.101870829,0.070019082,,,,,
Argentina,ARG,1962,Moving Average,0.07386261,0.103085778,0.076795465,,,,,
Argentina,ARG,1963,Moving Average,0.09616471,0.102439185,0.091583805,,,,,
Argentina,ARG,1964,Moving Average,0.10748005,0.102741675,0.09087508,,,,,
Argentina,ARG,1965,Moving Average,0.103315845,0.100522058,0.077208159,,,,,
Argentina,ARG,1966,Moving Average,0.111904755,0.101968558,0.089572231,,,,,
Argentina,ARG,1967,Moving Average,0.114715323,0.101045291,0.093747132,,,,,
Argentina,ARG,1968,Moving Average,0.117024918,0.102590345,0.098376345,,,,,
